,Pokemon,Type1,Type2,Cluster
0,Abomasnow,Grass,Ice,4
1,Abra,Psychic,,16
2,Absol,Dark,,19
3,Accelgor,Bug,,13
4,Aegislash,Steel,Ghost,14
5,Aerodactyl,Rock,Flying,15
6,Aggron,Steel,Rock,15
7,Aipom,Normal,,19
8,Alakazam,Psychic,,16
9,Alomomola,Water,,7
10,Altaria,Dragon,Flying,0
11,Amaura,Rock,Ice,20
12,Ambipom,Normal,,19
13,Amoonguss,Grass,Poison,4
14,Ampharos,Electric,,10
15,Anorith,Rock,Bug,6
16,Arbok,Poison,,3
17,Arcanine,Fire,,11
18,Arceus,Normal,,18
19,Arceus-Bug,Bug,,18
20,Arceus-Dark,Dark,,18
21,Arceus-Dragon,Dragon,,18
22,Arceus-Electric,Electric,,18
23,Arceus-Fairy,Fairy,,18
24,Arceus-Fighting,Fighting,,18
25,Arceus-Fire,Fire,,18
26,Arceus-Flying,Flying,,18
27,Arceus-Ghost,Ghost,,18
28,Arceus-Grass,Grass,,18
29,Arceus-Ground,Ground,,18
30,Arceus-Ice,Ice,,18
31,Arceus-Poison,Poison,,18
32,Arceus-Psychic,Psychic,,18
33,Arceus-Rock,Rock,,18
34,Arceus-Steel,Steel,,18
35,Arceus-Water,Water,,18
36,Archen,Rock,Flying,15
37,Archeops,Rock,Flying,15
38,Ariados,Bug,Poison,13
39,Armaldo,Rock,Bug,6
40,Aromatisse,Fairy,,12
41,Aron,Steel,Rock,14
42,Articuno,Ice,Flying,0
43,Audino,Normal,,12
44,Aurorus,Rock,Ice,20
45,Avalugg,Ice,,20
46,Axew,Dragon,,15
47,Azelf,Psychic,,16
48,Azumarill,Water,Fairy,8
49,Azurill,Normal,Fairy,8
50,Bagon,Dragon,,15
51,Baltoy,Ground,Psychic,16
52,Banette,Ghost,,17
53,Barbaracle,Rock,Water,6
54,Barboach,Water,Ground,5
55,Basculin,Water,,5
56,Bastiodon,Rock,Steel,6
57,Bayleef,Grass,,4
58,Beartic,Ice,,20
59,Beautifly,Bug,Flying,13
60,Beedrill,Bug,Poison,13
61,Beheeyem,Psychic,,16
62,Beldum,Steel,Psychic,2
63,Bellossom,Grass,,4
64,Bellsprout,Grass,Poison,4
65,Bergmite,Ice,,20
66,Bibarel,Normal,Water,6
67,Bidoof,Normal,,6
68,Binacle,Rock,Water,6
69,Bisharp,Dark,Steel,19
70,Blastoise,Water,,8
71,Blaziken,Fire,Fighting,11
72,Blissey,Normal,,12
73,Blitzle,Electric,,10
74,Boldore,Rock,,6
75,Bonsly,Rock,,6
76,Bouffalant,Normal,,15
77,Braixen,Fire,,16
78,Braviary,Normal,Flying,0
79,Breloom,Grass,Fighting,4
80,Bronzong,Steel,Psychic,16
81,Bronzor,Steel,Psychic,16
82,Budew,Grass,Poison,4
83,Buizel,Water,,8
84,Bulbasaur,Grass,Poison,4
85,Buneary,Normal,,12
86,Bunnelby,Normal,,6
87,Burmy,Bug,,7
88,Butterfree,Bug,Flying,13
89,Cacnea,Grass,,4
90,Cacturne,Grass,Dark,4
91,Camerupt,Fire,Ground,3
92,Carbink,Rock,Fairy,16
93,Carnivine,Grass,,4
94,Carracosta,Water,Rock,6
95,Carvanha,Water,Dark,5
96,Cascoon,Bug,,9
97,Castform,Normal,,5
98,Caterpie,Bug,,9
99,Celebi,Psychic,Grass,16
100,Chandelure,Ghost,Fire,17
101,Chansey,Normal,,12
102,Charmander,Fire,,11
103,Charmeleon,Fire,,11
104,Chatot,Normal,Flying,0
105,Cherrim,Grass,,4
106,Cherubi,Grass,,4
107,Chesnaught,Grass,Fighting,6
108,Chespin,Grass,,6
109,Chikorita,Grass,,4
110,Chimchar,Fire,,11
111,Chimecho,Psychic,,16
112,Chinchou,Water,Electric,7
113,Chingling,Psychic,,16
114,Cinccino,Normal,,12
115,Clamperl,Water,,7
116,Clauncher,Water,,5
117,Clawitzer,Water,,5
118,Claydol,Ground,Psychic,16
119,Clefairy,Fairy,,12
120,Cleffa,Fairy,,12
121,Cloyster,Water,Ice,7
122,Cobalion,Steel,Fighting,6
123,Cofagrigus,Ghost,,17
124,Combee,Bug,Flying,9
125,Combusken,Fire,Fighting,11
126,Conkeldurr,Fighting,,1
127,Corphish,Water,,7
128,Corsola,Water,Rock,20
129,Cottonee,Grass,Fairy,4
130,Cradily,Rock,Grass,3
131,Cranidos,Rock,,15
132,Crawdaunt,Water,Dark,7
133,Cresselia,Psychic,,16
134,Croagunk,Poison,Fighting,19
135,Crobat,Poison,Flying,0
136,Croconaw,Water,,8
137,Crustle,Bug,Rock,6
138,Cryogonal,Ice,,20
139,Cubchoo,Ice,,20
140,Cubone,Ground,,6
141,Cyndaquil,Fire,,11
142,Darkrai,Dark,,17
143,Darmanitan,Fire,,11
144,Darumaka,Fire,,11
145,Dedenne,Electric,Fairy,10
146,Deerling,Normal,Grass,4
147,Deino,Dark,Dragon,15
