,Pokemon,Type1,Type2,Cluster
0,Abomasnow,Grass,Ice,3
1,Abra,Psychic,None,13
2,Absol,Dark,None,11
3,Accelgor,Bug,None,1
4,Aegislash,Steel,Ghost,1
5,Aerodactyl,Rock,Flying,5
6,Aggron,Steel,Rock,5
7,Aipom,Normal,None,11
8,Alakazam,Psychic,None,13
9,Alomomola,Water,None,8
10,Altaria,Dragon,Flying,7
11,Amaura,Rock,Ice,15
12,Ambipom,Normal,None,11
13,Amoonguss,Grass,Poison,3
14,Ampharos,Electric,None,6
15,Anorith,Rock,Bug,1
16,Arbok,Poison,None,2
17,Arcanine,Fire,None,12
18,Arceus,Normal,None,4
19,Arceus-Bug,Bug,None,4
20,Arceus-Dark,Dark,None,4
21,Arceus-Dragon,Dragon,None,4
22,Arceus-Electric,Electric,None,4
23,Arceus-Fairy,Fairy,None,4
24,Arceus-Fighting,Fighting,None,4
25,Arceus-Fire,Fire,None,4
26,Arceus-Flying,Flying,None,4
27,Arceus-Ghost,Ghost,None,4
28,Arceus-Grass,Grass,None,4
29,Arceus-Ground,Ground,None,4
30,Arceus-Ice,Ice,None,4
31,Arceus-Poison,Poison,None,4
32,Arceus-Psychic,Psychic,None,4
33,Arceus-Rock,Rock,None,4
34,Arceus-Steel,Steel,None,4
35,Arceus-Water,Water,None,4
36,Archen,Rock,Flying,5
37,Archeops,Rock,Flying,5
38,Ariados,Bug,Poison,16
39,Armaldo,Rock,Bug,1
40,Aromatisse,Fairy,None,13
41,Aron,Steel,Rock,5
42,Articuno,Ice,Flying,7
43,Audino,Normal,None,13
44,Aurorus,Rock,Ice,15
45,Avalugg,Ice,None,15
46,Axew,Dragon,None,5
47,Azelf,Psychic,None,13
48,Azumarill,Water,Fairy,8
49,Azurill,Normal,Fairy,8
50,Bagon,Dragon,None,5
51,Baltoy,Ground,Psychic,13
52,Banette,Ghost,None,17
53,Barbaracle,Rock,Water,15
54,Barboach,Water,Ground,8
55,Basculin,Water,None,8
56,Bastiodon,Rock,Steel,5
57,Bayleef,Grass,None,3
58,Beartic,Ice,None,15
59,Beautifly,Bug,Flying,16
60,Beedrill,Bug,Poison,16
61,Beheeyem,Psychic,None,13
62,Beldum,Steel,Psychic,14
63,Bellossom,Grass,None,3
64,Bellsprout,Grass,Poison,3
65,Bergmite,Ice,None,15
66,Bibarel,Normal,Water,9
67,Bidoof,Normal,None,9
68,Binacle,Rock,Water,15
69,Bisharp,Dark,Steel,11
70,Blastoise,Water,None,15
71,Blaziken,Fire,Fighting,0
72,Blissey,Normal,None,13
73,Blitzle,Electric,None,6
74,Boldore,Rock,None,1
75,Bonsly,Rock,None,1
76,Bouffalant,Normal,None,5
77,Braixen,Fire,None,12
78,Braviary,Normal,Flying,7
79,Breloom,Grass,Fighting,0
80,Bronzong,Steel,Psychic,13
81,Bronzor,Steel,Psychic,13
82,Budew,Grass,Poison,3
83,Buizel,Water,None,8
84,Bulbasaur,Grass,Poison,3
85,Buneary,Normal,None,9
86,Bunnelby,Normal,None,1
87,Burmy,Bug,None,1
88,Butterfree,Bug,Flying,16
89,Cacnea,Grass,None,3
90,Cacturne,Grass,Dark,3
91,Camerupt,Fire,Ground,2
92,Carbink,Rock,Fairy,13
93,Carnivine,Grass,None,3
94,Carracosta,Water,Rock,15
95,Carvanha,Water,Dark,15
96,Cascoon,Bug,None,10
97,Castform,Normal,None,15
98,Caterpie,Bug,None,10
99,Celebi,Psychic,Grass,13
100,Chandelure,Ghost,Fire,17
101,Chansey,Normal,None,13
102,Charmander,Fire,None,5
103,Charmeleon,Fire,None,5
104,Chatot,Normal,Flying,7
105,Cherrim,Grass,None,3
106,Cherubi,Grass,None,3
107,Chesnaught,Grass,Fighting,0
108,Chespin,Grass,None,0
109,Chikorita,Grass,None,3
110,Chimchar,Fire,None,0
111,Chimecho,Psychic,None,13
112,Chinchou,Water,Electric,8
113,Chingling,Psychic,None,13
114,Cinccino,Normal,None,9
115,Clamperl,Water,None,8
116,Clauncher,Water,None,8
117,Clawitzer,Water,None,8
118,Claydol,Ground,Psychic,13
119,Clefairy,Fairy,None,13
120,Cleffa,Fairy,None,13
121,Cloyster,Water,Ice,15
122,Cobalion,Steel,Fighting,1
123,Cofagrigus,Ghost,None,17
124,Combee,Bug,Flying,10
125,Combusken,Fire,Fighting,0
126,Conkeldurr,Fighting,None,0
127,Corphish,Water,None,15
128,Corsola,Water,Rock,15
129,Cottonee,Grass,Fairy,3
130,Cradily,Rock,Grass,2
131,Cranidos,Rock,None,5
132,Crawdaunt,Water,Dark,15
133,Cresselia,Psychic,None,13
134,Croagunk,Poison,Fighting,11
135,Crobat,Poison,Flying,7
136,Croconaw,Water,None,5
137,Crustle,Bug,Rock,1
138,Cryogonal,Ice,None,15
139,Cubchoo,Ice,None,15
140,Cubone,Ground,None,5
141,Cyndaquil,Fire,None,12
142,Darkrai,Dark,None,11
143,Darmanitan,Fire,None,12
144,Darumaka,Fire,None,12
145,Dedenne,Electric,Fairy,6
146,Deerling,Normal,Grass,3
147,Deino,Dark,Dragon,5
