,Pokemon,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,PCA9,PCA10,PCA11,PCA12,PCA13,PCA14,PCA15,PCA16,PCA17,PCA18,PCA19,PCA20,PCA21,PCA22,PCA23,PCA24,PCA25,PCA26,PCA27,PCA28,PCA29,PCA30,PCA31,PCA32,PCA33,PCA34,PCA35,PCA36,PCA37,PCA38,PCA39,PCA40,PCA41,PCA42,PCA43,PCA44,PCA45,PCA46,PCA47,PCA48,PCA49,PCA50,PCA51,PCA52,PCA53,PCA54,PCA55,PCA56,PCA57,PCA58,PCA59,PCA60,PCA61,PCA62,PCA63,PCA64,PCA65,PCA66,PCA67,PCA68,PCA69,PCA70,PCA71,PCA72,PCA73,PCA74,PCA75,PCA76,PCA77,PCA78,PCA79,PCA80,PCA81,PCA82,PCA83,PCA84,PCA85,PCA86,PCA87,PCA88,PCA89,PCA90,PCA91,PCA92,PCA93,PCA94,PCA95,PCA96,PCA97,PCA98,PCA99,PCA100,PCA101,PCA102,PCA103,PCA104,PCA105,Type1,Type2,Cluster
0,Abomasnow,0.03977831503980421,-0.01618736273232052,-0.05164914180059599,0.1035116138394001,0.13124978522002734,0.12189539681490232,0.04246916053197688,-0.03040891163771326,0.015801789401781986,-0.03536273294257303,-0.023959969525075075,-0.024758538256114994,-0.035562700190845536,0.09216681971677597,-0.01560652186689514,-0.06945063708531006,0.017728353248358482,-0.004687819599356124,0.011256482287685166,-0.1832067804002008,0.12222123148911344,0.1061642880101749,-0.05157573923998046,0.00434240142567121,-0.07241113991110351,0.0184210851394953,0.0019436093766217525,0.08626118514615605,0.015858584928238925,-0.04931878447067003,-0.011251714344968088,-0.07009220736429281,0.02781814245989746,0.023259796631009827,0.00020339256538913475,0.0021002194657857376,0.0041833813325486925,-0.008523627897256796,0.014653938522417895,-0.006957321681963472,-0.027843633346585746,0.013582359035486633,0.019242505218415234,0.002965386038838326,0.032518375893082915,-0.02568971699757429,-0.024220097690321043,-0.01741626196125835,0.03341779985801089,0.023523156556135395,0.018908597637406224,0.02592484729211672,0.0037690275516947974,-0.01702318461752255,-0.00734554580475591,-0.036314155554594614,-0.015093743877189892,0.05023980962802833,0.03660266366068704,0.019901992233634522,-0.005082142575581192,-0.013421185212520845,0.015318497065179404,0.02033685771040666,-0.01763833562889976,4.0895234566503305e-15,-6.03308921544342e-15,0.021246410286128902,-0.005493535701310646,0.027219231668026533,0.02313908818311623,-0.04204375468161822,-0.017419804960045495,-0.028970504284862846,0.007263170773562615,-0.030938953888093312,0.007209770170445627,0.02268562568788006,0.02364592276555318,0.030359075847927033,0.0239574765026165,-0.05110045978027363,-0.026806312077873456,0.01466166600504788,0.0467548513232253,-0.045498757741741586,-0.06824652194471022,0.03180780488454628,0.033347075756793215,-0.0022110918333011964,-0.0018490529862214698,-0.0019466728116522317,0.010741236232520513,0.03247172125956026,0.026706434298591684,-0.050267173980762844,0.008966854058278032,0.03606270937770879,-0.007130301803605137,0.005024757180607574,0.03709245838966548,0.037137385332813036,-0.026412178944998147,0.038365048508703294,-0.016628729770583182,Grass,Ice,17
1,Abra,0.07455529594251283,0.3126476729985504,0.13841601845061377,0.056770424543150386,-0.034992654086121226,-0.08432072292486636,-0.004848134109132136,0.06053143596171099,-0.06558580422866443,-0.0179894815013151,-0.028395817313776897,0.04209193272294676,-0.0010101171574563108,0.1034077329022303,-0.04888767521554618,0.04566278255306548,0.025368596090391327,-0.005647098910540451,-0.11252005619773739,-0.02489873723675177,0.005898133440537574,0.02035099766024778,0.01609444131307205,-0.020249933478981248,0.0002183247892625622,-0.07118995976468012,0.022377435292873175,-0.058643711935748015,0.0030162487723915856,0.008871965451188207,0.08839472443563534,-0.030810256759618487,-0.0014637004498165372,-0.0312973363104613,-0.029434910579213523,-0.03491590206022586,0.039294774354625965,0.05479650945286276,-0.016826253524239,-0.022720875132916783,-0.05340029606662674,0.036685181829611564,0.012887358093645497,-0.021549000381871082,-0.02092122846388949,0.041140888514450406,-0.011752801317948555,0.017328286570424876,-0.07428015893960632,-0.0214531231055784,-0.05646805266957507,0.004400397110542549,0.0498013355632926,0.013815299760128068,0.03917842963791984,0.024524293942507155,0.04635997360848946,0.034544862844892096,0.019756552834242,-0.010728601965564773,0.03971444052947569,-0.035304034776261047,-0.01445058678060542,-0.036096881734694636,0.009633669370191307,-4.141829390542578e-15,6.182130201685024e-15,-0.013823356893291746,0.004039920893916173,0.002000974462518349,-0.07785059098892096,-0.018305274081333145,0.0014817062887677388,0.03917409012578926,0.0050463526691643746,0.007337131892128435,0.025074072893409936,-0.019278084890789422,0.0339957056968832,-0.012649456752923505,-0.015955453297521873,-0.020358544005253193,0.016435538156490837,-0.0070723947794665626,0.02580671924636184,0.013933531464768207,6.446337729202775e-05,0.010623829512860233,-0.022931427641284155,0.03276338667737554,0.01271248065293241,-0.042720557386992514,-0.01694301300805122,0.005777333911939142,0.011605607165959334,-0.007146274303565415,0.013448263917228632,0.008743835345497521,-0.01880197772848292,-0.020934146992976917,-0.03309445629851504,0.003630355462353932,-0.011570824644706216,0.01699662347561559,0.002384295208976861,Psychic,None,9
2,Absol,0.08001204228332838,0.01132193297246591,0.13806166330412073,-0.004363038287053004,-0.12709234280359935,0.018869128638419493,0.030310423503815503,0.09888664696555596,0.06776651033408564,-0.03284755983598635,0.025245728709012875,-0.08439961740749263,0.04833100195315508,-0.08560591222010651,-0.08497602284357707,-0.0420163320858425,-0.022330108049858726,0.08761410372282184,-0.010627235202740762,0.002404142861882799,-0.0303076795731881,0.006452741340355672,0.04016393129898302,0.05141477561840461,-0.006308522131521216,0.062184390104027265,-0.05090410093029745,0.09613904765522954,-0.03442363447290588,-0.07804452815064664,0.0721506214262663,0.044431975398587606,-0.020265680302324687,-0.03588854332311312,-0.0030308777889925687,-0.05506094861214471,0.01646448704164166,0.029906421774981047,-0.08729689835368007,0.001537033487897376,0.015259933876473866,-0.044205580804526794,0.026485607196156887,0.00839836550911941,-0.0012125118577827332,0.023746746190458964,-0.0027299024902101,-0.021286542042365846,-0.011246239046545023,0.06743484791414205,0.02342194495850338,0.01199762394878901,-0.01840305054562142,-0.039720642182389375,-0.014477981872211085,0.012588470715752302,0.0298528169003594,-0.033821989396916795,-0.011835072121122073,-0.03148174215233491,-0.006535350651980801,-0.0414152511857074,0.012452451417863475,0.019061700185491783,-0.019021334823677738,2.0902956199354156e-15,-2.7858418259287697e-15,-0.014088273148977051,-0.00959124036052535,0.00409061515635407,0.026288158799049232,-0.008748936788517741,-0.012317181975312598,-0.01417499216986653,0.021409916238018207,0.0027882942149175904,0.021869671362558452,0.013726171489776442,0.019607754855679792,0.005201094775730376,-0.007150140132445581,0.03479641908307128,0.012179731259978305,-0.005169235383059136,0.0008616028294880095,-0.023481737755373808,-0.04294643986089988,0.026456287274771447,-0.0008060484202036401,0.0010769980885580964,0.03423883378728848,-0.01922758659725902,0.01670569391864658,-0.020842978697086043,0.04752945477576763,0.001415856323081007,0.012453817391841978,-0.003342116311994934,-0.009083051177993904,0.005602341188513065,-0.013651755692792679,0.027555989260220883,0.005577767866237208,-0.037849944948062555,-0.03139308183598351,Dark,None,11
3,Accelgor,-0.048351466636171896,0.03499321572683047,-0.09270790363471058,0.016446367627574787,-0.024467216005452284,0.005568203817921182,-0.03024100939914178,0.10304720839838817,-0.09377604366965424,0.04155067705637076,0.05438473322105645,-0.027290813551420136,-0.0640891015077388,-0.0794035204700375,-0.0046045776026821935,0.018819004063397485,0.14292190834861462,0.051190736669193035,-0.049173922086262395,0.08817888351540475,0.0696663305955815,0.027739386109449163,-0.015876203283682628,-0.01906021192023874,-0.06867056910128093,0.03682695527349396,-0.11727869321210346,-0.004985031334680625,-0.12879742016519347,-0.0340430798352315,0.13208249155432972,0.008595159659925935,-0.05443523356454751,0.029629928525778094,0.04904311282005909,-0.055309946131959734,0.051057491228927644,0.0704663808889976,-0.006204046452955214,-0.010134408144868672,-0.04213250729151295,0.04836809304206298,0.08337710371380593,0.09753370072864775,0.04907659516243935,0.0060014888844329446,-0.05471327800540387,0.013592407486118634,-0.03931938629512908,0.00424331300392705,-0.0521687918654544,-0.08562640366742304,0.04295361820734085,-0.06934943392611932,-0.0045582794629415975,0.06481431904211701,0.049638572269375715,0.03870910278863659,0.032274761511052553,-0.04102805538912309,0.009283329161004696,0.03876430569012616,-0.013108975074237165,0.018350998399498795,0.04680514835161005,-2.9388505256812638e-15,3.528339943464579e-15,0.0493659572542785,-0.01380603319349744,-0.008099238999766131,-0.042570928633684765,-0.026379783667719356,-0.07842729902318701,-0.01929930484429783,-0.00436750875637436,0.020039607961647058,0.02780716556286077,0.009870933020760983,-0.06843595572725722,-0.057338088019827364,0.018500248513022743,0.0335145585991244,0.06753055863621271,0.02068190720577982,0.010964615643028619,0.04051217938146145,0.0155559434219561,0.028278281108729913,-0.05915877887045382,0.014966508795358706,0.025393686504726835,-0.01014879805767753,3.11359518596697e-05,-0.07541714913241906,0.021254221661979943,0.01670233134087203,0.0012057696639961345,-0.01600942375994575,0.03751974789225869,0.03994494940899797,0.024306353704661814,-0.03181680716595571,0.019815142232069538,0.008666085733022938,-0.0021964185199456984,Bug,None,16
4,Aegislash,-0.042024989734440424,-0.018877960338131782,-0.06621938829348403,-0.02376180818963902,-0.03965589098180961,0.012708519356503863,-0.14545759341020387,0.04399045243912257,-0.09560588936621744,-0.12944217575741981,-0.04297666449582052,-0.08059584293447711,0.014370321672920069,-0.08632491704300034,-0.10972440806812782,0.0186010851864091,-0.010558265289732154,0.07076572251475347,0.08610524072673749,-0.03665819891517627,-0.036512934199471325,-0.04839075463535792,-0.06534733017367764,0.1535421442769353,0.05415106382724306,0.04404562127532306,0.061838344850955185,-0.10314997628826816,-0.05802727430247902,0.028192677327652852,-0.025083617185946146,0.01603379722977524,0.04083673393675134,-0.06368756337085446,-0.0023685922780208313,0.04483820753029783,0.013639081651749306,0.06617109186598401,-0.07402620121665081,-0.10464785911485615,0.08078223231383166,0.15409140521383247,0.053809406556676626,0.005066730683089499,-0.0006904328303589404,0.0007158060812146689,0.03980361740339196,-0.05129957747027705,0.045133506418589486,-0.1609491341980688,0.043761462416227886,0.01574305593651303,0.042154042164330545,-0.049158895121747544,0.026957845276003266,-0.08294452384095818,0.0241420545684612,-0.010077950470730537,0.04149386162842159,0.03412840986871957,0.005990322305871314,-0.05997755159377339,-0.07709833361220657,-0.04447897067208022,0.016955437065366178,-3.907665966211644e-15,5.552133147249294e-15,-0.0027363267424136816,-0.0258174616512087,0.004934090338580707,0.08527297316596497,0.004228502931198636,-0.05169650153715068,0.015624961071712974,0.03295793162057897,0.021059551214002197,0.011816954501399685,0.0740282400056226,-0.00039655369061426565,-0.04928185243631074,-0.03900680865044278,0.03552164891942401,-0.002401240318763762,0.09421421176191759,-0.007072366903886579,0.013218087612186123,-0.016666825800679266,0.03227661263809547,-0.028922799859096338,-0.022565510169417054,0.005687497542188215,0.004439622820481547,0.009958585094140026,0.024720142927627888,0.02003396350016472,-0.010617697444545451,0.012052118621942946,0.04569087563452944,0.03385681207245038,-0.03211099274251215,0.027246192587307476,0.0052291916924384705,0.003189435304445491,0.021399821956755233,-0.024617411285053802,Steel,Ghost,8
5,Aerodactyl,0.04615638247465349,-0.16582824852999953,0.04513584613119237,-0.19100313729797885,-0.10144899615049013,0.113967270994248,-0.04996853286958448,-0.01954527630728357,0.01594112820960803,0.12241788978847094,-0.07129770385938633,-0.07900834195560887,0.05507682394755942,0.13558963005203384,0.010771844514997481,-0.059159056613558164,0.05354496810554496,-0.031822227648825474,-0.05283040106345612,0.04957231540493833,-0.007620179721724832,-0.06531379585728712,0.0021798405708536093,0.01601831592060873,0.04309243533688886,0.030354426170830028,0.024167871022545973,0.006101712874269055,-0.01672880625064299,0.004907363972520134,9.644143663172241e-06,-0.012959591646924111,0.010929264124527724,-0.054908889702479945,-0.0009422497745934012,0.0708458713996528,-0.01223375617932819,0.03053465952101548,0.01576746737773936,0.007827285022988666,0.017308801318262804,0.027623610297004754,0.0028478482892877162,0.04581460167378041,-0.006248026413012266,0.004326149475361667,0.025447178275264944,-0.07016564186478495,-0.004208057168396815,0.05570580657566336,-0.042897659001560326,0.024965667704357257,0.01975180262824688,0.008745964845909235,0.014057449782441452,-0.013684634795592813,0.019064790121347878,0.007783707682884983,-0.023912923276872926,-0.016661257758307176,-0.002006852014477522,0.015201757126770986,-0.016344530373430328,-0.0051829542463453955,0.004618774085890164,1.2604969616062555e-15,-1.2507299285520802e-15,0.013022976212143284,0.005898672609047459,-0.02771385526261965,0.019099883395076244,-0.026469531724838874,0.04983637057620954,-0.03844510969206161,-0.0006743538895225006,-0.008385054062048244,0.02681300936024823,0.003146144895907492,0.03759301903558424,-0.04440387084578104,-0.024027547930198987,0.043321187409876026,0.032805022579343375,-0.02044227948849589,0.04370309399273702,-0.054597300670262396,0.008518170452153882,0.021615805905277553,-0.0005933244087461402,-0.004228292402507405,-0.040495527036360515,-0.01086894837640845,-0.03524746940981282,0.0017099495250779094,-0.0018594355280297302,0.010977771065561718,-0.02551452737812579,-0.009192611800901742,-0.008051542432166554,-0.017822462594984923,0.0008403776409776633,0.024556028887190693,0.025278797551765445,0.007715714704297581,0.023588810329554337,Rock,Flying,1
6,Aggron,0.0933153250879949,-0.17533270178011762,0.2035929606755778,0.05477716250358263,0.04304893662805016,0.057184458599249324,-0.064773031901071,-0.050594152146914616,-0.06607278980401293,0.05057032047951864,-0.0009722664075885114,-0.06753555606507596,0.009215709049165818,0.11044605985729006,-0.054880481310447496,0.028179120151295468,-0.07098205500836495,-0.019559531862783086,0.0705634873952246,0.001164366589036041,-0.021410569554450948,-0.013531501222645953,0.0011420163043714103,0.11037748379310405,-0.015179469098396466,0.009528158460656085,0.007943055848531328,-0.0010681872510715834,-0.0007939238056923012,-0.03091775011783639,0.02537872874016189,0.048391174162046524,-0.04021673123288915,0.0012148684696573389,0.06503297427488665,0.04922761039595209,0.040052411249745686,-0.03731722528597996,-0.013981319336134338,-0.013233778639489852,0.005079686913457645,-0.0044370032628076985,0.08043867536847958,-0.059487105452486616,-0.07649117238975675,-0.045879150962548444,-0.031606918532771824,-0.013206417718437509,-0.002391367516367346,-0.009983329109457982,-0.03110578014094357,-0.001967676348135579,-0.04764646886498064,0.021732235749148964,0.005769587578698073,-0.013200936420574625,-0.019499600671530608,0.011384864167557728,0.022940314441752305,0.035819751923050994,-0.02274162450570873,0.004588260611131374,-0.0316047320671317,-0.060809945371747325,0.017288258891170007,-3.249955585557298e-15,4.653801250955118e-15,0.011000006116805322,-0.02303762283473887,0.02806468876519656,-0.027217770080379518,0.0063153505838617,-0.01983528621095891,-0.005285278541361062,-0.0033156589327410055,0.05153174576239883,-0.010031312367175848,-0.0008986747981223341,-0.04771878000661973,-0.01737511053303666,0.011899402062269344,-0.014024440460081907,0.0773145306425617,-0.017920848611709016,-0.007359380657226646,-0.037566137004625015,0.06346274247412861,0.0012477239860205342,-0.03736422192965651,0.00883076872280041,-0.01013079506579867,0.030431953848729855,0.029234273775190306,-0.03713067775611722,-0.0050272559357217314,-0.04882720650011553,-0.015573750541329595,0.03813499670929173,0.006854352202248658,0.0009497472115284532,-0.017173113553409027,0.002959191278922743,-0.04049739834953789,-0.008399492085376138,-0.007143490952071352,Steel,Rock,1
7,Aipom,0.08252471678193647,-0.01132008575380351,0.09380833991772893,0.14858850569698392,-0.19531099886555944,-0.056086018011895285,0.10686457063253464,0.038522629693768184,0.01903418009081306,-0.0420336475475654,0.06840374607350778,-0.03988656137773547,-0.009957613790534725,-0.02378076792032563,0.01103058040836225,-0.012955972002223003,-0.07702828388200844,-0.0025040866848043256,-0.019561629377674267,-0.015965715842689323,0.0023743360943387602,0.010419290750773346,0.05600559183355728,0.038138768639107944,0.004821683273208918,-0.03748485041867821,-0.07934257285487546,-0.05041331448494959,0.05420963106798726,-0.027939224246302314,0.05186684366076523,-0.0012913084993294037,0.011806685725221894,0.004212608141342081,0.024596068965459347,0.032364274487064526,0.10635213916414173,-0.000730892821495897,0.03604296972763512,0.037623651540927866,-0.044232394531538016,0.021558453264998997,-0.017662816092417016,0.0267849497202751,-0.022223101537825456,-0.00511981872573851,0.047701472323207574,-0.02343098612709047,-0.006487231625065581,0.007646412195716857,-0.011284039550162377,0.03542012173417738,0.01933964439530462,0.0012262200836183064,0.03669338136647593,-0.07412693979721907,0.014098961846686702,0.005623854401353469,-0.0035891531978682906,-0.02342718259806046,-0.04429496563938417,-0.01591372569628983,0.02068221717344138,-0.05189872566546725,0.009705546859986414,-4.1089396753865885e-15,5.990599101021112e-15,-0.014627770568971023,-0.009201942111271576,0.007796072820158489,0.018107871365083072,-0.025853438823373206,0.00011165055843208453,0.01819056720658216,0.025539270974759148,0.030035176518116765,-0.005948823302426145,0.064214102973284,-0.031500872550314564,-0.01636435470397135,0.07132576264819682,-0.005038089877339504,0.014244780439469983,-0.013034627279539196,0.010396109510598396,0.026113820840160052,0.028531887955264738,-0.06854883931947531,-0.011636114952466048,0.05447895351625715,-0.03112554774085145,-0.015354199671226868,0.016912021901766584,0.00798567204958836,-0.006746171666811989,0.019457323312357184,-0.029034819172990525,-0.05396404596104746,0.020711713878944243,-0.016688859745012927,-0.023645525352120788,0.030616379631104806,-0.003043410742682706,0.025678785234650062,-0.02738424414599586,Normal,None,2
8,Alakazam,0.06649372105228246,0.320054183909326,0.17173414525524847,0.038665826055721476,-0.02655551178114474,-0.06652794222460509,0.015000028660876017,0.068718563440024,-0.062011035974093486,-0.014156624581662726,-0.02557322316688115,0.03940138030743657,-0.0062179607286893465,0.10338181660439516,-0.048490908576698966,0.052586689213144175,0.04164713219499894,-0.01565970177125244,-0.14297177931042832,-0.019142108548197888,0.01743645853465934,0.0305850417491005,-0.0018677857272917401,-0.0037308193302294855,-0.004175396345224062,-0.07527323108966762,0.02910409086754582,-0.03823802464226971,0.003074920063133643,-0.018046188225459708,0.08455863879536078,-0.037124837542546606,0.01678543602976552,-0.01954469010654978,-0.029566923759951614,-0.05244422281135044,-0.0010803894787000732,0.0490119281550004,-0.022289180394846404,-0.013504243081929998,-0.04577384476236043,0.04224380830404469,0.034385671085199236,-0.02268680954288387,-0.019251335668421462,0.04158683300793036,-0.015562849298200256,0.005540844329516847,-0.06322691373790988,-0.0411663885615193,-0.05228021424882626,0.0041878071149806925,0.033448501947060734,0.028812294654965407,0.04853108260475594,0.020259358182587568,0.04796331934154288,0.019654055367004087,0.020265308601255385,-0.021253790377000974,0.03951990046665546,-0.028091210118554616,-0.027929905496246722,-0.029304885673529804,0.01633297393158098,-4.200344607187091e-15,6.2209516123438185e-15,-0.00792350414507538,-0.0037919447708832594,0.009062176924109724,-0.061207943258433734,0.002570586952657522,-0.016327527350875327,0.03149042459977686,0.013150109027315853,0.007043780066926258,0.04079041271040364,0.010156209793428869,0.025937822486522124,-0.016550439755848807,-0.02582694563825724,-0.023343989134329987,0.010612588349118653,-0.0031060727389251334,0.010891239458840518,-0.008196110425148553,0.0077250092390951045,0.024588355891189188,-0.04184186759967725,0.03658264100186632,0.02172315671346366,-0.04334157171284043,-0.02546495925208978,0.012748656241494544,0.007639238954168123,-0.013277925373334205,-0.003880048346832654,0.009205921125084265,-0.021590325094535658,-0.02515930713828317,-0.01000095596254935,9.590354539647511e-05,-0.005457520114718963,0.037550883340405565,0.008698479148488461,Psychic,None,9
9,Alomomola,0.024631723383461764,0.03888358793702252,-0.092210942668216,-0.048470482653046154,0.14668615873304733,-0.15059770563474845,0.11782700226937996,0.02734589096560273,-0.026155481096986802,-0.08340890616417235,-0.055451236870943596,0.051319161421959344,0.012085808896501123,-0.02597330774371524,0.018534354049643903,-0.03571396169280752,0.05362630758233666,0.0357051104278297,0.0235910674740437,0.004339120157130398,-0.026462004394989063,-0.08021490700532334,0.002011470297832535,0.013198365416106566,-0.001298377005140139,0.04533578595833619,0.03557134291171003,-0.004003377213586918,0.033140364160382484,0.0017649575121713745,0.016375976559505196,0.009680272093384103,-0.021091613815360035,-0.07310988038260437,-0.025494729916059333,0.07133889352520698,0.004792258596009434,-0.0021433550469282183,-0.04242718561511595,-0.011789576895575086,0.03527569048208189,0.03003831404347833,-0.049930485215674864,0.014519316647585403,0.03110767783865564,0.004747083327490786,-0.004377264419738421,-0.019622542606965977,0.03113831038941494,0.06969120684151957,0.01704438224360543,0.09911227651167598,0.005714706713679184,-0.01813843487357151,-0.042136670639658855,0.011120157946473785,0.017924149226508028,0.021819547227388894,0.028849220481084133,-0.04178562272708657,-0.04353121217051863,-0.004962415607063269,0.08539347980469064,0.0019598840087097598,0.014494766046393397,-5.544335550908282e-15,6.992106648404306e-15,-0.029001028765916786,0.03465494770204969,-0.029415998481832416,0.02208027851445028,-0.03199782009624903,-0.014952411159916008,-0.037119079855271686,-0.004386954243862604,0.08632989186539326,0.013075291431762802,-0.024777137275949178,0.0012229777166319563,-0.04923749948115404,-0.001219221818972119,-0.0032236657080921246,-0.006969765411914531,0.032539179052934436,-0.001225304716924635,0.04712776299962705,0.012819503198768869,0.016050504349353237,-0.02008788998498062,0.04388247434316439,-0.007685922704590791,-0.015870926830294077,0.050578596688745786,-0.011211096597642488,0.021546337179374025,-0.0035586948229854717,0.015551670076222733,0.004647195052187976,0.07964184620789748,-0.07242205743975133,-0.02560252951727347,0.004395889263528269,0.010718123031342418,0.01694688259283994,-0.012477282365809613,Water,None,0
