,Pokemon,bug,dark,dragon,electric,fairy,fighting,fire,flying,ghost,grass,ground,ice,normal,poison,psychic,rock,steel,water,Type1,Type2,Cluster
0,Abomasnow,0.04792740661423256,0.07294371842491292,0.07294371842491292,0.048054220509893206,0.0,0.14550233034078117,0.04862914561660862,0.04850077678026038,0.07265508493711609,0.43650699102234347,0.12109180822852682,0.38903316493286894,0.714177859770839,0.12045344170922491,0.12109180822852682,0.19451658246643447,0.0723676255548871,0.12141229369016317,Grass,Ice,14
1,Abra,0.06896918042625064,0.2332633563228876,0.046652671264577526,0.13830333993516994,0.0493235789310334,0.16285331939940006,0.1166316781614438,0.06979427974260002,0.09293613943633507,0.11632379957100003,0.09293613943633507,0.1166316781614438,0.6394742123117311,0.11555775343147641,0.6273189411952617,0.046652671264577526,0.06942632864306611,0.0698865804017456,Psychic,None,7
2,Absol,0.09483454756648396,0.3848923485650271,0.038489234856502706,0.1331196660890776,0.04069277839790564,0.11516289857953146,0.15395693942601082,0.07677526571968764,0.1725162097054443,0.03838763285984382,0.0575054032351481,0.17320155685426217,0.7913653969380967,0.09533708125928907,0.1916846774504937,0.17320155685426217,0.05727788347237979,0.09609599813144466,Dark,None,16
3,Accelgor,0.3342170556598321,0.11303685452218726,0.05651842726109363,0.05585022998120202,0.0,0.11273846537108276,0.05651842726109363,0.05636923268554138,0.11258957513645226,0.14092308171385343,0.11258957513645226,0.05651842726109363,0.774705408590991,0.36398709853729827,0.19703175648879145,0.08477764089164044,0.05607205759865717,0.14110944789427662,Bug,None,15
4,Aegislash,0.10160255688649568,0.13745358888626427,0.06872679444313214,0.1358285239533558,0.0,0.17136343204489426,0.10309019166469821,0.10281805922693657,0.2395919646599241,0.06854537281795771,0.1026822705685389,0.06872679444313214,0.773824387182245,0.17023492441311436,0.17113711761423153,0.24054378055096248,0.306828026451052,0.1029540327576287,Steel,Ghost,8
5,Aerodactyl,0.04560514625016729,0.254500858693269,0.2082279752944928,0.06858872331433451,0.0,0.09230146901600345,0.23136441699388088,0.29997977430201117,0.13826935394378473,0.04615073450800172,0.13826935394378473,0.11568220849694044,0.7022257405348973,0.11461702632276181,0.0921795692958565,0.37018306719020944,0.13772229212284978,0.09242353469906088,Rock,Flying,2
6,Aggron,0.05749107314215753,0.1555542414378471,0.21388708197703973,0.1537151789224624,0.0,0.2521083775788655,0.17499852161757798,0.058178856364353576,0.11620404266505832,0.058178856364353576,0.1743060639975875,0.17499852161757798,0.7234257297671213,0.09632620271276693,0.05810202133252916,0.34999704323515596,0.21219785053150492,0.1553487893462156,Steel,Rock,8
7,Aipom,0.07992100845579389,0.28381915930834156,0.04054559418690593,0.14023183312599102,0.0,0.2628506654385549,0.10136398546726484,0.10109640978405958,0.141348052797413,0.1213156917408715,0.100962894855295,0.10136398546726484,0.8336455727799653,0.1406029002904482,0.12115547382635398,0.0608183912803589,0.06033806148171939,0.10123010648950213,Normal,None,13
8,Alakazam,0.058812189010879326,0.218802099260084,0.039782199865469825,0.1179356071629818,0.04205976682420988,0.15870873905248076,0.09945549966367455,0.059515777144680294,0.07924956864342877,0.09919296190780048,0.07924956864342877,0.09945549966367455,0.6231997374500374,0.09853973027491347,0.6736213334691445,0.039782199865469825,0.05920201367121566,0.059594484819295954,Psychic,None,7
9,Alomomola,0.05899553772145329,0.08978899957007251,0.05985933304671501,0.059151637425016855,0.0,0.08955197896760185,0.08978899957007251,0.08955197896760185,0.08943371041466187,0.059701319311734564,0.05962247360977459,0.23943733218686003,0.6739818448878778,0.14827039612707077,0.3279236048537602,0.08978899957007251,0.05938657767151143,0.538022451238345,Water,None,4
10,Altaria,0.0419914681871197,0.10651573730886138,0.31954721192658414,0.04210257584016216,0.13513663164338216,0.0637407373701116,0.1704251796941782,0.2974567743938541,0.08487540924342843,0.08498764982681546,0.10609426155428554,0.19172832715595048,0.7925850099061112,0.10553495844817865,0.14853196617599976,0.06390944238531683,0.10567450028209334,0.06382503241686018,Dragon,Flying,2
11,Amaura,0.05324179194544831,0.10804268523202436,0.13505335654003045,0.18683933618161389,0.0,0.0808181095832678,0.05402134261601218,0.05387873972217853,0.053807583722560955,0.05387873972217853,0.1345189593064024,0.4051600696200914,0.6346950391540341,0.13380980811699672,0.2690379186128048,0.43217074092809743,0.16078408307764447,0.16184997779583718,Rock,Ice,18
12,Ambipom,0.07734344584046483,0.27466560045463984,0.0392379429220914,0.13570916333580005,0.0,0.2543733693966321,0.0980948573052285,0.09783591130639695,0.13678938338520594,0.11740309356767634,0.09770670241800425,0.0980948573052285,0.8451764668243902,0.13606826307305178,0.11724804290160508,0.0588569143831371,0.058392075882166675,0.09796529610891935,Normal,None,13
13,Amoonguss,0.09019054615981648,0.15251848271801197,0.061007393087204785,0.06028612435964748,0.0,0.06084634875957076,0.09151108963080717,0.06084634875957076,0.0911489862784888,0.45634761569678073,0.06076599085232587,0.061007393087204785,0.7167739243247147,0.42311953144298037,0.0911489862784888,0.09151108963080717,0.060525570595353344,0.09139022410764085,Grass,Poison,0
14,Ampharos,0.05808203465204656,0.07857660631177764,0.09822075788972205,0.48529764387527224,0.0,0.2155152549983294,0.07857660631177764,0.039184591817878076,0.07826568385774409,0.07836918363575615,0.11739852578661612,0.05893245473383323,0.7885615866444616,0.09731635779399589,0.11739852578661612,0.09822075788972205,0.05846701963238267,0.058854618244270955,Electric,None,12
